d,p,shots,nfails_org,nfails_em
3,0.05,1000000.0,79498.0,79498.0
5,0.05,1000000.0,48299.0,48170.0
7,0.05,1000000.0,33174.0,33121.0
9,0.05,1000000.0,24642.0,24634.0
11,0.05,1000000.0,18493.0,18490.0
13,0.05,1000000.0,13343.0,13342.0
15,0.05,1000000.0,9668.0,9668.0
17,0.05,1000000.0,7027.0,7027.0
19,0.05,1000000.0,5158.0,5158.0
21,0.05,1000000.0,3830.0,3830.0
